제목,원제,개봉일,대여,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,스트리밍
마마,,(2011),"[('Naver Store', ['₩1,400', 'HD'])]",,"['66%', '6.5']",['드라마'],['1시간 51분'],['Choi Equan'],"['Uhm Jung-hwa', 'Yoo Hae-jin', 'Jeon Soo-kyung', 'Ryu Hyun-kyung', 'Lee Hyeong-seok', 'Kim Hae-sook', 'Jin Sun-kyu', 'Gong Min-jeung', 'Jang Hang-seon', 'Man']","야쿠르트를 배달하고, 오후에는 다른 집 청소까지 하는 사랑하는 우리 엄마. 걷지도 못하고 5년 밖에 못사는 병에 걸린 저에게 세계 여행을 시켜주겠다며 열심입니다. 그런 엄마를 위해 제가 할 수 있는 일은 혼자 걷기 연습, 그리고 루브르 박물관을 공부하는 것 정도입니다. 근데 엄마가 많이 아픈 것 같습니다. 하느님, 선생님. 제 심장을 드려도 좋아요. 우리 엄마 좀 살려주세요. 네? 우리 엄마, 아니 장교수님은 대한민국 넘버 원 소프라노. 우아 떠는 엄마 뒤, 의상 보따리 들고 고군분투하는 영원한 시녀는 바로 나다. 학예회 때 유행가를 불렀다고 천박하다며 홱 돌아섰던 엄마. 열 받아 대학도 생략하고 천박하게 띠 동갑 남자에게 시집가 애까지 바로 낳았다. 그런데 꿈이 대체 있긴 했냐고? 더는 못 참는다. 오디션 프로에 나가, 도도한 얼굴에 먹칠 한 번 해봐?? 유방암 통보를 받은 울 엄니. 수술을 언능 해야 할텐데, 여자로서 가슴 한 짝 도려내는 건 못한다며 버티시는 구만. 게다가 뭐? 죽기 전에 첫사랑 덕수 씨를 한번 보고 잡다고? 개뼉다구 같은 아부지 만나 맞고만 산 울 엄니, 나가 뭔 일이 있어도 지켜 드릴 거구만. 영어 강사인줄 철석같이 믿는 엄니 몰래, 울 조직 아그들 풀어 그 놈의 첫사랑인지 뭐시긴지 서치 좀 해 봐야 쓰겄네!",https://images.justwatch.com/poster/11497160/s276/ma-ma.webp,"[('Watcha', ['정액제', 'HD'])]"
영웅이 되고 싶은 남자,形影不离,(2012),,"[('Naver Store', ['₩1,200', 'HD'])]","['64%', '5.4 (2k)']",['드라마'],['1시간 37분'],['Dayyan Eng'],"['Kevin Spacey', 'Daniel Wu', 'Gong Beibi', 'Yan Ni', 'Peter Stormare', 'Kenneth Tsang', 'Mo Zhang', 'Han Tongsheng', 'Wang Yanhui', 'Zhai Xiaoxing', 'Ningyu Zhao', 'Chao Wu', 'Dayyan Eng', 'Lisa S.', 'Lulu Gan']","리는 거듭되는 불행한 사건 속에서 완전히 녹초가 되고 만다. 아내는 점점 까다롭게 굴며 한시도 집에 머물지 않고, 청구서는 쌓이고, 일에 대한 압박감에 짓눌린 그는 공청회에서 거짓말을 하고 만다. 결국, 지친 삶을 비관해 자살을 시도하지만 운 좋게도(?) 그의 이웃인 척의 방해로 실패하게 된다. 그리고 척은 리가 자신의 삶을 스스로 관리하고 남에게 좌우되지 않도록 격려를 아끼지 않는다. 하지만 척은 정말 리를 대하는 것만큼 좋은 사람일까? 그리고 리는 척과 새롭게 쌓은 우정에 대해 어떤 대가를 치르게 될 것인가?",https://images.justwatch.com/poster/103655283/s276/xing-ying-bu-chi.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
And They're Off,,(2011),"[('wavve', ['₩1,200', 'HD'])]","[('Naver Store', ['₩1,200', 'HD'])]","['46%', '3.8']",['코미디'],['1시간 30분'],['Rob Schiller'],"['Sean Astin', 'Mark Moses', 'Greg Cipes', 'Cheri Oteri', 'Martin Mull', 'Peter Jacobson', 'Saul Youngerman', 'Gigi Rice', 'Amy Lyndon', 'Kylie Tyndall', 'Keaton Tyndall', 'Susan Yeagley', 'Luis Chávez']",A comedy centered on a failed horse trainer who desperately wants to be back in the winner's circle.,https://images.justwatch.com/poster/203468312/s276/and-theyre-off.webp,"[('Watcha', ['정액제', 'HD'])]"
이웃집 좀비,,(2010),"[('wavve', ['₩2,200', 'HD'])]","[('Naver Store', ['₩2,000', 'HD'])]","['51%', '4.8']","['공포 , 코미디']",['1시간 29분'],"['Yeong-geon , Jang Yun-jeong , Ryu Hoon , Oh Young-Doo']","['Park Young-seo', 'Bae Yong-geun', 'Kim Yeo-jini']","신종플루의 기세가 한풀 꺾이고, 다소 불안한 평화가 감돌던 2010년의 서울. 전 세계적으로 퍼지던 ‘좀비 바이러스’가 서울 전역에서 발생하자, 정부는 즉각 계엄령을 선포하고 좀비 감염자를 찾아서 제거하기 시작한다. 한편 시민들은 좀비에 물려 감염될 위험도 무릅쓰고, 그들을 숨겨주고, 먹여주며, 오직 함께 살아남기 위해 온갖 지혜를 모은다. 결국 그들에게 좀비는 제거 대상이기 전에 사랑을 하고, 밥을 주고, 인정도 베풀어야 할 애인이며, 엄마이고, 이웃사촌이기 때문이다. 그리고 정부의 좀비몰이가 더욱 주도면밀해지면서, 좀비들도 점점 더 궁지에 몰리게 되는데…",https://images.justwatch.com/poster/241641441/s276/the-neighbor-zombie.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
Vanished,"Vermisst - Alexandra Walch, 17",(2011),,"[('Naver Store', ['₩1,000', 'HD'])]","['69%', '6.6']","['스릴러 , 범죄 , 드라마 , Made in Europe']",['2시간 8분'],['Andreas Prochaska'],"['Emilia Schüle', 'Richy Müller', 'Ann-Kathrin Kramer', 'Hary Prinz', 'Erwin Steinhauer', 'Julia Koschitz', 'Christopher Schärf', 'Anna Katharina Thomasoff', 'Gerhard Liebmann', 'Coco Huemer', 'Michael Steinocher', 'Jonathan Dümcke', 'Thomas Mraz']",,https://images.justwatch.com/poster/139057041/s276/vermisst-alexandra-walch-17.webp,"[('Watcha', ['정액제', 'HD'])]"
돈 크라이 마미,,(2012),"[('wavve', ['₩1,000', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['72%', '6.4']","['드라마 , 스릴러']",['1시간 31분'],['Kim Yong-Han'],"['Yoo Sun', 'Nam Bo-ra', 'Dong Ho', 'Kwon Hyun-sang', 'Lee Sang-Min', 'Yu Oh-seong', 'Choi Dae-chul', 'Hong Seok-bin', 'Shin Dong-mi']","남편과 이혼하고 새 출발을 준비하고 있던 '유림'(유선)은 막 고등학생이 된 하나뿐인 딸 ‘은아’(남보라)가 같은 학교 남학생들로부터 끔찍한 사고를 당했다는 사실을 알게 된다. 하지만 이들은 미성년자란 이유로 처벌을 받지 않게 되고, 정신적 충격에 시달리던 ‘은아’는 결국 자신의 생일날 스스로 목숨을 끊는다. 한 순간에 딸을 잃은 ‘유림’은 슬픔이 채 가시기도 전에 ‘은아’의 죽음 뒤에 충격적인 사건이 있었다는 사실을 알게 된 뒤, ‘은아’를 죽음으로 몬 가해자들에게 직접 복수를 하기로 결심하는데….",https://images.justwatch.com/poster/191675189/s276/dont-cry-mommy.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
연쇄살인마의 이중생활,Code 60,(2012),"[('wavve', ['₩1,000', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['55%', '6.3']","['범죄 , 스릴러 , 드라마 , Made in Europe']",['1시간 26분'],['C. Martín Ferrera'],"['Anna Allen', 'Ernesto Collado', 'Cristina Genebat', 'María Pau Pigem']",독거노인을 죽이는 연쇄 살인마의 그릇된 폭력의 악순환과 범인을 잡는 형사들의 활약을 그린 범죄수사 영화,https://images.justwatch.com/poster/186359844/s276/yeonswaesalinmayi-ijungsaenghwal.webp,"[('Watcha', ['정액제', 'HD'])]"
커플즈,,(2011),"[('wavve', ['₩1,000', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['74%', '6.8']","['코미디 , 로맨스']",['1시간 50분'],['Jeong Yong-ki'],"['Kim Joo-hyuk', 'Lee Si-young', 'Oh Jung-se', 'Lee Yoon-ji', 'Gong Hyung-jin', 'Bae Seul-ki', 'Jeon Soo-jin', 'Joo Ye-rin', 'Jeon Su-ji', 'Kim Eung-soo', 'Jo Han-chul', 'Lim Seung-dae']","문자 한 통 남기고 사라져버린 여자친구를 수소문하는 유석, 떠난 남친이 남긴 A급 큐빅 반지만 손에 쥔 여자 애연, 사랑을 찾아 바람처럼 떠도는 여자 나리, 친구의 친구를 사랑한 자칭 도시의 하이에나 복남, 그리고 사랑은 절대 없을 거라 믿었던 거친 남자 병찬. 저마다 특별한 사연을 가진 다섯 싱글이 우연과 필연, 인연과 악연으로 얽히고 설켜드는데...",https://images.justwatch.com/poster/12265568/s276/couples.webp,"[('wavve', ['정액제', 'HD'])]"
전성계비,全城戒備,(2010),"[('wavve', ['₩1,400', 'HD'])]",,"['56%', '4.7']","['스릴러 , SF , 액션']",['1시간 50분'],['Benny Chan'],"['Aaron Kwok', 'Shu Qi', 'Wu Jing', 'Zhang Jingchu', 'Yuen Wah', 'Collin Chou', 'Tie Nan', 'Karen Cheung Bo-Man', 'Gao Yan-Chao', 'So Ming-Hei', 'Ben Wong', 'Gary Chiu Cheun-Sing', 'Terence Yin', 'Chrissie Chau']","2차 세계 대전 당시, 일본군은 말레이시아에서 생체 실험을 통해 무적의 군대를 만들려고 했지만 계속 실패를 하게 되고 결국 비밀 생체 연구소 또한 폭파 되고 만다. 세월이 흐른 뒤 오늘 날, 기에단에서 삐에로와 잡일을 도맡아 하며 살고 있던 써니는 기에단의 실세인 비도의 고수 장대초에게 온갖 굴욕을 당하며 살다가 우연히 장대초의 동생이 알아온 금괴 소식을 듣고 일당의 뒤를 따라갔다가 사로고 독가스를 마시게 된다. 죽을 고비를 넘긴 끝에 유명 앵커인 엔젤의 도움으로 홍콩에 오게 된 써니는 돌연변이가 된 장대초 일행의 악생에 맞서는 비도기협으로 언론데 소개되고 장대초는 얼굴이 멀쩡한 써니와 자신들의 흉악한 모습을 비교하며 써니의 피를 마시면 치료가 될 거라는 생각을 갖게 된다.",https://images.justwatch.com/poster/11244746/s276/jeonseonggyebi.webp,
위대한 비행,The Great Flight,(2012),"[('wavve', ['₩1,200', 'HD']), ('Naver Store', ['₩1,400'])]","[('Naver Store', ['₩3,500'])]",[],[],['1시간 32분'],['Jin Jae-un'],[''],"뉴질랜드부터 한반도를 거쳐 알래스카까지! 색색의 가락지를 단 지구별 여행자 도요새(얄비)의 눈에 비친 또 다른 문명과 우리들의 기적과도 같은 만남. 세상에서 가장 큰 열대 섬인 파푸아뉴기니에서 만난 ‘갤링’ 할아버지와 전설의 새라 불리는 극락조 사냥, 캄보디아에서 물소를 타고 노는 소년과 몽골에서 사는 저보아, 마못 등.. 도요새(얄비)가 바라본 지구별의 아름다운 숨결과 가슴 벅찬 감동의 순간까지! 남반구에서 북반구까지 9개국을 쉼 없이 날아 오른 얄비의 위대한 비행이 시작된다.",https://images.justwatch.com/poster/126088262/s276/widaehan-bihaeng.webp,"[('wavve', ['정액제', 'HD'])]"
나쁜 놈이 더 잘 잔다,,(2010),"[('wavve', ['₩2,200', 'HD'])]",,"['66%', '5.4']","['드라마 , 범죄']",['1시간 25분'],,"['Kim Heung-soo', 'Oh Tae-kyung', 'Seo Jang-won', 'Jo An', 'Choi Deok-moon', 'Lee Yong-nyeo']","어린 나이지만 파란만장한 인생살이를 경험한 세 청춘들. 아르바이트로 근근히 먹고 살아 가지만 자꾸만 이 세상이 가만두지 않는 재수없는 놈 윤성(김흥수), 에로비디오 출연에 막말 작렬 천상천하 유아독존 싸가지없는 놈 종길(오태경), 여자 등쳐먹으며 살아가는 개념없는 놈 영조(서장원). 그들이 원하는 것은 바로 총! 총으로 한바탕 쓸고 지나가면 인생역전의 기회가 자신들에게도 올 것이라 생각한다. 그런 그들 앞에 장물애비 이감독이 나타나고, 이들의 인생은 처음 계획과는 달리 뒤엉키게 된다. 한편 윤성의 동생 해경(조안)은 스타가 되기를 꿈꾸며 세 명의 나쁜 놈들과 얽히기 시작하는데…",https://images.justwatch.com/poster/139007313/s276/nabbeun-nomi-deo-jal-janda.webp,"[('wavve', ['정액제', 'HD'])]"
청풍자,听风者,(2012),,"[('Naver Store', ['₩1,000', 'HD'])]","['64%', '6.2 (1k)']","['드라마 , 스릴러 , 범죄']",['2시간 0분'],"['Alan Mak , Felix Chong Man-Keung']","['Zhou Xun', 'Tony Leung Chiu-wai', 'Wang Xuebing', 'Mavis Fan', 'Dong Yong', 'David Lam Wai', 'Jacob Cheung', 'Pal Sinn Lap-man', 'Carrie Ng', 'Henry Fong Ping']","반란 세력의 주파수를 감청해 그들의 움직임을 쫓는 701부대, 어느 날 반란 세력의 발자취가 감쪽같이 사라진다. 정확하게 한 달 뒤, 다시 주파수를 찾아냈지만, 이전의 중요 정보들은 사라진 지 오래다. 게다가 주파수가 소실 되어 감청하지 못했던 그 한달 동안 해외 지부까지 공격 당한다. 다시 그들의 주파수를 찾아내기 위해 코드네임 200, 쉐닝이 상하이로 떠난다. 상하이에서 쉐닝은 원래 목표물이었던 뤄산얼이 아닌 시각장애인 피아노 조율사 아빙을 본부로 데리고 돌아오고, 아빙은 기적과도 같은 청력으로 대부분의 주파수를 다시 찾아낸다. 그에 대한 보상으로 아빙은 개안 수술을 받게 되고 결혼까지 하게 된다. 행복했던 나날들이 지나고, 반란 세력의 흔적을 찾던 쉐닝은 그들의 함정에 빠지게 되고 예상치 못한 국면으로 접어 드는데…",https://images.justwatch.com/poster/93635738/s276/the-silent-war.webp,
577 프로젝트,,(2012),"[('wavve', ['₩1,540', 'HD']), ('Naver Store', ['₩1,540', 'HD'])]","[('wavve', ['₩6,050', 'HD']), ('Naver Store', ['₩6,050', 'HD'])]","['74%', '6.3']","['코미디 , 드라마']",['1시간 39분'],['Lee Keun Woo'],"['Ha Jung-woo', 'Gong Hyo-jin', 'Kim Sung-kyun', 'Lee Seung-ha', 'Han Soo-hyun', 'Kang Shin-chul', 'Cha Hyun-woo', 'Choi Hee-seo', 'Lee Ji-hun', 'Lee Seung-joon', 'Lee Soo-in']",하정우의 물귀신 작전에 낚여버린 국민 공블리 공효진. 그리고 개성 넘치는 16명의 배우들과 함께 떠나는 서울부터 해남까지 577km 얼떨결에 내뱉은 말 한마디로 장장 577km를 걷게 된 공효진 하정우의 순도 200% 리얼 버라이어티 무비 !,https://images.justwatch.com/poster/139185748/s276/577-project.webp,"[('Netflix', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
Oka!,,(2011),,"[('Naver Store', ['₩1,000', 'HD'])]","['54%', '5.8']",['드라마'],['1시간 45분'],['Lavinia Currier'],"['Will Yun Lee', 'Haviland Morris', 'Peter Riegert', 'Kris Marshall', 'Isaach De Bankolé', 'Ho-Kwan Tse', 'Sebastian Beacon', 'Jakob Von Eichel']","The story of Louis Sarno, an American ethno-musicologist who lived among the Bayaka Pygmies in Central Africa for 25 years.",https://images.justwatch.com/poster/11496059/s276/oka.webp,"[('Watcha', ['정액제', 'HD'])]"
범죄소년,,(2012),,"[('Naver Store', ['₩1,400', 'HD'])]","['73%', '6.6']","['드라마 , 범죄']",['1시간 47분'],['Kang Yi-kwan'],"['Lee Jung-hyun', 'Seo Young-joo', 'Kang Rae-yeon', 'Jeong Seok-yong', 'Seo Young-hwa', 'Bae Sung-woo', 'Kim Ha-eun', 'Kang Hyuk-Il', 'Jun Ye-jin', 'Choi Won-tae']","보호관찰중인 범죄소년 장지구(서영주)는 죽음을 앞두고 있는 할아버지와 단 둘이 살아가고 있습니다. 그의 유일한 희망은 낙천적이고 귀여운 여자친구뿐. 나쁜 친구들 때문에 어쩔 수 없이 빈집털이에 가담한 지구는 절도죄로 체포되고 그를 구제해 줄 가족이 없다는 이유로 1년 동안 소년원에 가게 되었습니다. 그 곳에 있는 동안 할아버지가 세상을 떠났다는 사실을 뒤늦게 알게 된 지구. 세상에 혼자 남겨졌다고 생각한 그 때, 죽은 줄만 알았던 엄마가 나타납니다. 엄마와의 만남 이후로 지구는 행복을 찾은 것 같았지만 곧, 충격적인 삶의 파란이 찾아옵니다.",https://images.justwatch.com/poster/56761557/s276/juvenile-offender.webp,
플라타너스 나무 아래서,Çınar Ağacı,(2011),,,"['65%', '6.2 (1k)']","['가족 , 드라마 , 코미디 , 로맨스']",['1시간 54분'],['Handan İpekçi'],"['Nurgül Yeşilçay', 'Settar Tanrıöğen', 'Ragıp Savaş', 'Rıfat Bey']",2달에 한 번씩 모이는 가족 모임을 통해 각별한 유대 관계를 쌓아 가는 할머니와 손자. 그러나 할머니의 건강 문제로 가족 간에 갈등이 불거진다.,https://images.justwatch.com/poster/139036306/s276/cinar-agaci.webp,"[('Netflix', ['정액제', 'HD'])]"
원피스: 에피소드 오브 나미 ~항해사의 눈물과 동료의 인연~,ワンピースエピソード・オブ・ナミ～航海士の涙と仲間の絆～,(2012),"[('Naver Store', ['₩1,000', 'HD'])]",,"['80%', '8.0']","['애니메이션 , 액션']",['1시간 45분'],['Tokoro Katsumi'],"['Jurota Kosugi', 'Mayumi Tanaka', 'Akemi Okamura', 'Kazuya Nakai', 'Hiroaki Hirata', 'Kappei Yamaguchi', 'Noriko Hidaka', 'Masaya Onosaka', 'Kozo Shioya', 'Toshiyuki Morikawa', 'Masaya Takatsuka', 'Hisao Egawa', 'Tomohisa Aso', 'Tamotsu Nishiwaki', 'Wakana Yamazaki', 'Yasuhiko Tokuyama']","갑자기 고잉•메리호를 훔쳐서 달아난 나미. 루피, 조로, 우솝, 상디는 나미를 찾아서 아론 파크로 떠난다. 아론 파크는 아론이 지배하는 섬으로 마을 사람들은 8년째 고통 받고 있다. 나미는 마을을 구하기 위해 '1억 베리'를 모아 마을을 사겠다는 계약을 맺고 아론의 측량사로 일하고 있었다. 이제 조금만 더 모으면 마을도 자신도 자유로워질 수 있을 거란 희망으로 버티고 있는 나미. 하지만 그 희망은 절망으로 변하는데...",https://images.justwatch.com/poster/93364684/s276/one-piece-episode-of-nami-tears-of-a-navigator-and-the-bonds-of-friends.webp,"[('Watcha', ['정액제', 'HD'])]"
하드 로맨티커,ハードロマンチッカー,(2011),"[('wavve', ['₩1,200', 'HD'])]",,"['69%', '6.1']",['드라마'],['1시간 48분'],['Su-yeon Gu'],"['Shota Matsuda', 'Kento Nagayama', 'Tokio Emoto', 'Kaname Endô', 'Gota Watabe', 'Kaneko', 'Motoki Ochiai', 'Kim', 'Yuma Ishigaki', 'Hakuryu', 'Dai Watanabe', 'Riri Kuribayashi', 'Sei Ashina', 'Yoko Maki', 'Takagi']","시모노세키에서 태어난 한국인 2세 '구'는 고등학교를 중퇴하고 별볼일 없는 인생을 상고 있다. '구'는 주변의 여러 건달, 야쿠자와도 얼굴을 트고 지내는 그런 생활을 보내는 청년이다. 그러던 어느 날, '구'는 그와 친하게 지내는 '타츠'가 김청기의 할머니를 죽여 유치장에 있다는 소식을 듣게 된다. 알고 보니 '타츠'는 그의 여자친구가 김청기에게 폭력을 당한 일을 복수하기 위해 그의 할머니를 죽이게된 것이다. 하지만 '타츠'가 이런 일을 벌이게 된 것은 '구' 자신이 언젠가 ""복수는 본인이 아니라 가까운 사람한테 하는 것""이라는 말을 듣고 벌인 일이라는 것이다. 본의 아니게 죄책감을 느끼게 된 '구'는 진위 파악을 위해 나서게 된다. 그 와중에 조선학교 복싱부의 '박영오'와 척을 지게되고...",https://images.justwatch.com/poster/54592994/s276/hard-romanticker.webp,
바다,,(2011),,"[('Naver Store', ['₩1,000', 'HD'])]",[],['드라마'],['1시간 38분'],['Yoon Tae-sik'],['Koh Soo-hee'],"눈으로 세상을 볼 수는 없지만 보이지 않는 세상을 마음으로 바라보는 소년 태성은 어느 날, 혼자만의 여행을 떠나려다 격한 감정으로 운전을 하던 진이의 차에 치이게 된다. 놀란 진이는 병원에 데려가려 하지만 무슨 이유인지 태성은 병원 행을 마다하고 목적지까지 태워달라고만 한다. 함께 떠나려는 진이와 태성이 탄 차 앞으로 갑자기 뛰어든 수희! 삶에 절망해 자살하려던 헤비급 복서 수희는 다행히 목숨을 건지고 그들의 여행에 합류하게 된다. 우연히 모인 세 사람은 모두 한번도 ‘바다’에 가본적이 없다는 공통점을 발견하고 함께 ‘바다’로 향하는 여행을 떠나기로 하는데… 어딘가 조금 부족하지만 사랑스러운 그들의 좌충우돌 여행기가 지금부터 시작된다!",https://images.justwatch.com/poster/33661266/s276/bada.webp,"[('Watcha', ['정액제', 'HD'])]"
럭키,Lucky,(2011),,,"['79%', '7.1']",['드라마'],['1시간 40분'],['Avie Luthra'],"['Sihle Dlamini', 'Jayashree Basavaraj', 'James Ngcobo', 'Vusi Kunene', 'Brenda Ngxoli', 'Mary Twala']","병을 고치러 도시로 갔던 엄마가 시체로 돌아오자 혼자 남은 럭키는 마을을 떠나 도시에 사는 삼촌을 찾아간다. 하지만 럭키를 돌봐 줄 생각이 없는 삼촌은 여동생이 맡긴 돈만 가로채고 조카를 내쫓는다. 삼촌의 이웃집에 살던 인도 할머니는 흑인을 질색하지만, 고아에게 정부 보조금이 나온다는 사실을 알고 아이를 도와 혜택을 받게 해 준다. 럭키의 딱한 사정을 알게 될수록 그 아이에게 마음을 열게 된 할머니는 럭키의 친아버지를 찾아주기 위해 백방으로 수소문한다. 그렇게 겨우 아빠를 찾지만 그는 럭키 엄마가 아이를 밴 상태에서 자신을 만났다며 친부가 아니라고 주장하는데...",https://images.justwatch.com/poster/94826947/s276/reogki-2011.webp,"[('Watcha', ['정액제', 'HD'])]"
Key,,(2011),,"[('Naver Store', ['₩1,000', 'HD'])]",['25%'],[],['1시간 27분'],['Rob Hamilton'],"['Sam Forrest', 'Steve Brian', 'Noah James Butler', 'Farah Lavassani']","During a routine autopsy, forensic pathologist Martin Revell finds a key in a suicide victim's stomach. His investigation into the seemingly inanimate object leads to a world of obsession, insanity, and homicide (IMDB.com)",,
환타스틱 모던가야그머,Fantastic Modern Gayagumer,(2011),"[('wavve', ['₩1,540', 'HD']), ('Naver Store', ['₩1,540', 'HD'])]","[('wavve', ['₩6,050', 'HD']), ('Naver Store', ['₩6,050', 'HD'])]",[],[],['1시간 22분'],,,"14박 15일, 총23회 공연, 총이동거리 2,075킬로미터 모던가야그머 정민아와 함께하는 유쾌한 버스킹 투어! 스스로를 모던가야그머라 부르는 홍대 인디 씬 최초의 가야금 싱어송라이터 정민아. 낮에는 전화상담원으로 밤에는 홍대 클럽에서 공연을 하며 음악에 대한 열정을 쏟던 그녀는 2006년 발매한 1집 [상사몽]이 1만 장이 넘는 판매고를 기록, 매스컴과 대중의 주목을 받게 된다. 게으름을 떨치고 2집에 수록될 곡들의 영감을 얻기 위해 2009년 여름, 정민아는 15일간의 버스킹(거리공연)투어를 떠나기로 한다. 그녀의 곁에서 항상 함께 해주는 ‘정민아 밴드’의 일원인 퍼커션의 양현모, 베이스의 곽재훈, 그리고 정민아와 함께하기 위해 독립한 전 소니뮤직 마케팅 과장 김보경이 그녀의 음악여행에 동참한다. 듣는 사람에게 선물이 될 수 있는 공연을 하고 싶다는 그녀의 바램이 담긴 25현의 아름다운 가야금 연주가 지금부터 시작된다!",https://images.justwatch.com/poster/171226203/s276/hwantaseutig-modeongayageumeo.webp,"[('Watcha', ['정액제', 'HD'])]"
점프 아쉰,翻滾吧！阿信,(2011),,"[('Naver Store', ['₩1,000', 'HD'])]","['74%', '7.1']","['드라마 , 스포츠']",['2시간 6분'],['Lin Yu-hsien'],"['Eddie Peng', 'Lawrence Ko', 'Zaizai Lin', 'Chen Handian', 'Lung Siu-Wah', 'Pan Lili', 'Jay Ho Chieh', 'Li Kuan-I', 'Li Yi-Chen', 'Cai Yun-You', 'Hsia Ching-ting', 'Bamboo Chen']","어릴 때부터 체조만이 유일한 꿈이었던 아쉰, 하지만 신체적 핸디캡과 어머니의 반대로 체조를 그만두게 된다. 어머니를 도와 과일가게에서 일하지만 마음을 잡지 못하고 방황하는 아쉰. 친구 피클과 뒷골목 세계를 오가며 위태로운 시간을 이어가던 중 폭력사건에 휘말려 쫓기듯 고향을 떠나게 되는데… 과연 아쉰은 체조에 대한 열정을 되찾고 다시 한 번 인생을 건 도전의 기회를 잡을 수 있을까.",https://images.justwatch.com/poster/193530893/s276/jump-ashin.webp,"[('Watcha', ['정액제', 'HD'])]"
비밀의 아코짱,ひみつのアッコちゃん,(2012),,,"['66%', '5.6']","['판타지 , 코미디 , 로맨스']",['2시간 0분'],['Taisuke Kawamura'],"['Haruka Ayase', 'Masaki Okada', 'Takeshi Kaga', 'Masako Motai', 'Muga Tsukaji', 'Shosuke Tanihara', 'Kazue Fukiishi', 'Ren Osugi', 'Teruyuki Kagawa', 'Keiko Horiuchi', 'Shungicu Uchida', 'Mika Hijii', 'Hayato Kakizawa']","화장이나 패션에 관심이 많은 10살 소녀 ‘카가미 아츠코’. 어느 날 그녀는 거울 요정으로부터 마법의 콤팩트를 받는다. 마법의 콤팩트로 언제든 22살 대학생의 모습으로 변신할 수 있지만 비밀이 밝혀지면 더 이상 마법을 사용할 수 없다. ‘아츠코’는 이런 마법의 콤팩트로 좋아하는 화장이나 패션을 즐길 수 있어 신이 난다. 어린 ‘아츠코’는 친구들과 놀러 같 유원지에서 우연히 만난 ‘하야세 나오토’에게 반하게 된다. 다음 날, 어른의 모습으로 백화점을 누비던 ‘아츠코’는 그 곳에서 ‘나오토’와 재회하게 되지만 ‘나오토’는 어른이 된 그녀를 알아보지 못한다. 그런 ‘나오토’는 ‘아츠코’에게 화장품 사용 소감을 물어보고 그녀의 솔직한 평에 호감을 갖게 된다. 결국 ‘아츠코’는 화장품 회사에서 일하는 ‘나오토’의 눈에 들어 그곳에서 아르바이트를 하게 된다. ‘아츠코’는 화장품 회사에서 일하면서 지금까지 경험해 보지 못한 어른들의 사회를 경험하게 된다. ‘아츠코’는 마법의 콤팩트로 ‘나오토’를 도와주기 위해 애쓰지만 그것이 번번히 위기를 가지고 온다. 자신이 배운 것과 너무나도 다른 어른들의 사회에서 갈팡질팡하는 ‘아츠코’. 하지만 ‘아츠코’는 가장 어린이다운 모습으로 ‘나오토’에게 희망을 주며 그의 사랑을 받게 되는데… 과연 ‘아츠코’는 절대 말하면 안 되는 비밀을 지키며 ‘나오토’와 함께할 수 있을까?",https://images.justwatch.com/poster/139046554/s276/bimilyi-akojjang.webp,"[('Watcha', ['정액제', 'HD'])]"
썩시드,ห่วยขั้นเทพ,(2011),"[('wavve', ['₩1,000', 'HD']), ('Naver Store', ['₩1,000', 'HD'])]","[('Naver Store', ['₩5,500', 'HD'])]","['77%', '7.4 (2k)']","['코미디 , 음악 , 로맨스']",['2시간 10분'],['Chayanop Bunprakop'],"['Chirayu La-ongmani', 'Pachara Chirathivat', 'Thawat Phonrattana Pprasoet', 'Nattasha Nauljam', 'Napat Chokejindachai', 'Gunn Junhavat', 'Touchchavit Kunkrachang', 'Tossaporn Chertkeitkong', 'Aungwara Mongkhonsamai', 'Tonhon Tantivejakul', 'Tanat Palakul', 'Warinthorn Makhornsirisri', 'Parnphirat Phadungcharoen', 'Gornpop Janjaroen']","초등학교 시절, ‘언’은 같은 반 친구 ‘펫’에게 음악에 대한 열정을 털어놓고, 매사에 자신감이 모자란 펫은 좋아하는 감정을 표현하지 못한다. 언은 방콕으로 전학을 가고, 펫은 언에 대한 감정을 간직한 채 시간만 흘러간다. 한편, ‘펫’의 단짝 친구 ‘쿵’은 펫의 실수로 언과 커플로 오해받는다. 어느 날, 우연히 마주친 고등학생 펫과 언. 멋지게 기타를 연주하는 퀸카 언 앞에서 펫은 여전히 자신감 없는 평범한 학생일 뿐이다. 여기에 언과 커플로 오해받았던 쿵은 짝사랑의 마음을 숨기지 않고 드러낸다. 그리고 모든 십대소년의 꿈인 퀸카의 사랑을 얻기 위해 펫과 쿵은 친구 ‘엑스’와 함께 락밴드를 결성하게 되는데...",https://images.justwatch.com/poster/162207262/s276/sseogsideu.webp,
