0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
86,5426,6195,18348,2726,5370,1273,3222,15297,4798,10126,4891,10130,6473,9729,2276,10443,11523,4536,17594,2060
87,429,170,2861,1119,2878,19025,476,461,1818,325,6232,1076,2920,15454,455,7579,11613,17928,7824,14834
88,7063,26,3935,3187,1922,13932,613,17058,18760,7725,1444,5257,4175,12,2052,291,11239,912,17275,1993
89,5947,1397,7560,2823,10103,5717,14488,4120,8934,5711,14866,4708,2546,14271,14511,14990,9144,4306,11416,7862
90,6574,10728,7024,3897,15681,11838,7533,17294,1796,12048,7988,4599,933,283,11900,2523,11619,15617,1954,12218
91,8442,6167,5233,5532,5608,6127,13330,15624,231,14741,6291,17591,6987,3659,4573,5675,17457,10479,13985,15384
92,724,4260,9743,7406,221,7200,17645,7462,3278,15566,300,7212,3734,9520,9394,5878,4717,281,13820,7061
93,2896,8571,10883,14931,15326,2537,2228,14888,9571,5759,11552,8255,8259,3202,518,2805,545,3038,14163,9320
94,453,2263,14405,2386,4231,7576,9648,3994,1433,8337,7205,7954,2695,12040,6049,3954,12095,10728,2014,10038
95,2056,340,9748,129,2614,1986,553,4100,2392,462,4884,152,10755,5500,6326,2955,13759,4176,11327,8930
96,12378,15845,18905,16812,18211,7498,6129,17517,13512,12209,12512,15553,6896,8841,13571,13748,12466,9699,1149,9488
97,485,4898,2801,5034,597,2601,2740,15553,7866,281,7078,2140,723,5338,1969,5483,4346,2206,15254,5842
98,13259,398,13630,662,7924,932,9664,4629,1614,4487,1787,8687,13829,9887,8599,5958,1028,3128,8224,2574
99,433,2074,3116,57,313,15248,11513,2803,2014,1718,4854,937,1117,1030,2017,2195,8649,10216,5634,7918
100,2152,631,11012,1562,11611,296,308,11559,377,5144,6240,11713,15310,5081,14342,14778,2851,6486,13037,533
101,1166,7119,3229,11371,6358,11984,407,2742,6944,1445,13605,801,9551,2362,7777,14534,2377,2857,834,1128
102,14678,11697,5553,5701,13778,449,10544,5614,10144,5978,12170,1674,5030,12070,11219,2309,18211,4828,18344,13445
103,64,11922,8472,797,431,13277,753,922,9755,4938,1707,14996,15286,14454,1768,11381,7150,4068,15263,2765
104,1332,1820,5276,3338,18756,8695,1924,52,3700,1773,4505,5229,10256,319,3339,6964,3983,431,5231,17875
105,7597,7539,6040,2089,3751,5919,940,2224,14357,10684,10150,5170,1762,10443,18341,17293,18106,1078,1214,17649
106,304,13630,18350,768,14262,8425,16620,13727,8895,13299,1082,13777,8538,2901,3144,13280,1268,12091,17204,8047
107,6033,10197,15140,1226,5962,831,2790,228,14348,11295,5100,15029,3396,14847,1076,1117,388,13402,2904,15025
108,17862,17093,12232,7361,4065,213,945,1429,7081,13849,4992,7854,1957,7090,8748,4994,53,16786,5590,18770
109,2805,3966,9604,18510,9383,11525,3794,10045,9879,1078,4415,261,3515,7233,13188,168,2549,2325,4604,5254
110,871,864,6996,1370,918,165,18006,400,15523,1477,15286,18082,3194,16301,18573,18969,13520,10593,2491,6924
111,7103,13188,9693,5787,9496,8597,191,8681,8116,1410,1091,7006,11461,5544,15678,8990,6040,7279,9642,10045
112,2557,17409,423,2396,742,4875,3474,4257,16142,5412,2488,17697,5078,6545,15124,12341,14606,7758,15495,9267
113,5888,10351,16728,16248,3806,13788,10592,9521,10428,14212,3016,2978,10533,13200,18560,2886,9371,6209,9259,1163
114,10415,13350,1597,4889,14896,16221,4212,5101,5,1368,12215,1625,7952,4349,1173,8448,16491,7204,8560,910
115,14704,7263,9905,7582,3867,7313,4299,8856,7423,4781,488,10168,8117,334,5056,8120,5909,1773,4124,6380
116,785,8307,8678,14604,3729,14237,1208,16575,1822,16457,11181,2847,12251,5169,1038,4343,12788,9043,6351,5698
117,15573,11222,669,738,707,2427,2570,7206,7084,10628,1091,7387,3957,3508,7881,9812,930,2754,675,9005
118,645,256,11178,11008,10114,1613,2633,13855,9765,3340,1235,16954,11445,8454,1837,14262,10978,4215,13693,8561
119,6169,925,17031,921,17138,856,6300,17294,752,6405,5944,3094,817,471,90,16827,8116,17273,16145,1973
120,3323,16,9781,65,1299,15276,16312,10456,15119,16064,12098,7004,15585,771,7121,583,18756,9206,3574,10475
121,12063,9836,9780,9796,6943,5324,2403,13683,13033,17701,5804,14264,12236,12206,8694,2780,12745,17237,9447,12326
122,2207,14880,14861,16677,2637,645,7637,3482,1433,284,1164,7978,11953,7644,18047,11502,2387,13250,11720,1048
123,201,3197,244,5247,13307,8925,2126,5381,13807,742,3513,2044,3170,9391,3148,17624,987,11302,6782,10007
124,7056,7108,15336,464,797,461,6970,5127,4844,1543,3311,3365,10166,4826,18245,430,2060,2061,14937,446
125,12062,10921,2214,213,13460,14167,14020,1887,8818,16803,6346,8214,6838,4351,55,11945,4393,9885,1825,11235
126,6903,16110,2325,13980,3041,6226,678,2263,9336,1915,17895,7880,1851,9865,10908,9763,14492,13399,4206,3418
127,210,58,6878,231,9202,17651,15896,4962,4796,13730,7967,15152,986,12405,3090,2748,17810,6685,9005,9969
128,6338,4420,804,9121,8447,9396,5573,2172,6536,5656,11739,14985,5783,2052,1026,10427,10978,1708,10173,6081
129,9749,95,488,501,340,2455,10258,834,553,540,451,1636,13268,9852,9761,18653,9905,6877,7582,13366
130,46,195,10519,264,2542,7796,10324,16866,1174,1292,7827,4625,1749,6169,6689,2754,16781,10456,5295,4819
131,2574,1632,2818,7709,4971,594,7050,230,4347,626,1489,183,966,10182,11948,13225,672,4810,7835,2585
132,7863,373,13488,6912,9,10551,6725,9777,8528,10904,5548,8696,5178,11864,341,8694,685,752,11847,15598
133,16830,5622,17669,13654,7683,704,10548,16268,13099,4254,4207,12396,9658,151,14149,7783,7854,2669,8560,3186
134,2820,15373,15202,12216,7467,973,2857,6935,1896,14128,7980,836,967,8579,16577,6089,7639,18351,2537,4014
135,6773,12776,1871,2157,2385,14333,5509,18370,1999,2476,5013,9410,14844,5691,2642,73,5603,1462,14873,14321
136,225,3559,5930,8710,7313,6270,9877,6472,13275,12597,383,2614,11964,5870,16129,10185,16587,1737,4312,6425
137,14566,15564,2122,13488,2109,13324,7975,8699,1283,4614,2333,7306,14651,306,2478,9191,160,12157,1777,6281
138,16369,1874,5666,11608,3924,2866,15434,4981,14166,16361,1194,10235,148,17092,10214,11447,869,3849,3171,18163
139,17346,14283,11572,6336,14978,13905,8716,6649,2261,4346,10863,3769,5322,14466,8033,7570,10825,876,10697,3471
140,3966,3221,9383,10273,3699,17753,3794,2325,14435,1613,18824,8462,3158,7757,483,7633,3612,1083,16340,13387
141,15349,10150,4972,10283,6795,2803,3936,11458,15057,2611,10820,10638,5736,14675,11055,10673,13665,11486,11122,596
142,433,2074,9664,313,3116,57,99,2803,15248,11513,9770,12942,1117,3445,8649,11187,4357,1718,15836,4089
143,16991,760,8788,12718,2778,223,1908,4207,5119,9773,11326,3901,9196,3407,14512,16165,11794,8362,16566,2490
144,5435,5977,1463,10978,9816,1444,6958,431,5222,30,8252,16880,8616,7667,10623,9765,505,5116,14294,14011
145,6041,6511,3055,218,12539,13448,189,8907,6000,9524,9624,13447,13700,9737,12925,8965,17954,10470,14724,12879
146,17576,14958,13795,4646,1465,15062,448,16787,14684,266,13665,15895,16026,16219,10433,3989,14014,4180,7166,16090
147,800,6066,231,1440,12905,877,528,10406,9383,8120,5231,16316,733,401,11823,8321,4021,4600,11709,2866
148,661,11492,9840,869,1700,1181,16135,16652,3658,4889,138,2665,14360,12159,10382,17231,8301,5207,11319,3924
149,10200,9143,4133,6297,8663,746,12200,2385,2387,19118,9810,12238,2020,13314,1681,1785,450,560,424,1060
150,6997,1097,1035,1998,2615,11538,6626,1991,2675,10423,327,328,7525,12382,1719,3703,7081,6715,8246,11854
151,13372,12650,7156,15830,4207,12857,8298,2310,16268,380,4254,11253,5622,7783,42,595,1000,11375,10024,3442
152,2051,11296,16129,1999,11856,95,384,3912,553,9308,3072,9980,8456,4060,5522,14943,11191,2338,2119,462
153,1988,5855,1972,15775,18668,2090,5490,7783,2342,17273,6901,15859,10084,1946,15539,4199,15799,3704,7906,6305
154,2412,8931,2309,3385,14067,2492,2040,9320,12766,10394,13241,3058,2888,2607,8759,11071,13451,18701,11847,14328
155,56,10395,6870,5066,3842,8187,938,4276,81,8275,9972,5072,689,18386,18107,3532,784,10412,13409,157
156,8308,2658,10827,769,8610,1093,11262,5052,3235,11972,5385,5569,958,16412,18917,9834,8644,7570,7477,12028
157,523,8960,6370,4975,15378,5066,18679,14697,9545,488,3463,6169,3743,4884,11885,3922,5072,4553,5056,10395
158,1464,1375,2016,16112,16991,18746,1396,2490,1580,16566,14460,3901,10735,12120,17603,10928,18756,5763,6645,6490
159,5460,8653,12733,18008,1604,10357,17497,9457,17298,5608,11618,10653,9022,9694,11735,8252,12661,1970,17363,17792
160,427,306,2122,2109,13488,137,13324,1777,4614,1283,7306,2333,8699,14651,6281,5752,12157,8034,9191,2720
161,563,780,893,972,10,14962,257,7123,740,2352,8886,277,9956,9072,17301,565,17844,15798,419,2758
162,17423,17409,5045,16843,7848,13043,3871,16064,8813,9877,14416,14115,15124,15907,2274,3146,17138,9930,1959,2440
163,10880,8337,261,6845,7639,10528,15234,14052,6697,5086,9849,12194,44,10805,4150,8243,14499,1140,5445,10033
164,507,310,6838,3645,3069,1092,266,1545,8938,2411,2878,1984,3913,6,4416,7349,4660,2474,8598,4092
165,1370,1477,110,699,2371,14518,15286,11168,654,17443,7993,944,9029,2107,11605,689,1744,15263,1276,12375
166,14549,17512,8966,11485,1329,2342,11404,7624,9691,2458,3449,2721,7082,8311,243,15547,2584,7795,2262,11707
167,8016,647,8136,13544,4125,15666,10501,1863,18684,15852,5509,14519,8716,18522,12710,6897,4317,8898,12540,8410
168,450,1097,7195,702,14063,8353,10610,17426,3827,16910,11035,9933,6016,4118,10156,480,16276,3476,7020,13188
169,17870,9971,4801,11639,5872,13359,5349,7782,9693,282,17700,2022,5169,1282,10501,5841,9028,4897,15963,16159
170,476,2861,461,325,455,87,278,3365,1818,2061,3311,429,446,11258,3222,3171,11212,236,6340,9729
171,3632,3403,677,2957,5521,2354,2845,12977,4971,9921,5099,781,3968,4887,2391,1825,583,5238,5305,1953
172,7212,9510,5305,4717,6382,13820,11248,14009,9318,15186,8533,473,5343,1611,15302,13974,16129,6715,9394,6602
173,12648,1282,7145,17101,3375,17651,7071,702,13820,565,7467,9394,3734,7212,18191,4098,18112,2469,4959,8026
174,10404,18421,7551,2760,6412,2718,2569,8717,3431,2845,16100,18397,3691,14284,15085,1128,6491,13116,2811,11737
175,1770,6292,37,17238,3461,8848,462,9877,3671,671,17851,2591,730,346,9963,10925,16563,2960,1372,18677
176,648,5400,428,10869,1082,13777,9436,13324,3706,9191,14093,1983,898,1999,13400,3912,8456,14512,13700,7633
177,8273,5219,18008,10882,9167,13640,13202,1643,14284,9996,14213,813,3391,8931,6420,7949,6061,5225,978,2173
178,11850,17043,9907,15654,16907,9552,7204,16084,2383,15866,5782,12681,12215,1810,13167,9492,7690,63,17539,11292
179,13568,2109,5463,3886,7051,2356,2548,3699,13093,16873,3673,4902,14624,13575,548,2613,16110,1287,2497,9038
180,3114,6310,453,9648,8109,15011,11707,18306,5059,2386,13393,1433,6159,5401,6546,5021,4539,6997,2764,11811
181,7057,12179,4517,2179,4790,8895,4604,15234,14275,18861,18806,1692,3163,12312,5978,1168,15513,9064,2913,6937
182,1077,11560,8816,5864,15585,15167,15238,12752,18305,14230,14017,6854,15498,12219,4918,17994,15679,7468,13747,16377
183,5144,2826,1866,57,408,3860,6384,5169,950,14604,7827,12881,769,1929,2501,4006,5154,5823,10234,13324
184,818,11120,11190,10978,431,1947,11605,5149,14294,16560,623,11231,5231,741,1332,3340,18986,1992,7403,595
185,6058,17320,2614,656,286,6321,16871,1239,9822,6968,4355,16610,5663,2991,9017,438,6077,1848,4392,15722
186,10405,4539,4349,14262,13411,15216,2328,2658,3144,11575,15409,11792,8447,2768,13879,7842,13693,8837,8120,1250
187,16024,489,2407,15859,7033,6038,16494,6315,15800,3867,17589,18763,3097,17285,9932,8974,1075,1097,11733,3206
