0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
85,379,3757,1750,2584,3425,1447,11525,13568,5304,8528,2879,12043,2931,2920,2195,12957,13336,11494,3670,5680
86,5426,7842,6195,5370,1273,4798,18348,3222,2726,4891,15297,10126,9729,2276,10622,4019,236,10443,2060,10130
87,429,476,2861,170,461,19025,1119,455,1818,6232,325,2878,278,2197,7824,15454,1076,897,10193,14834
88,26,7063,1922,12,3187,13932,5257,18760,16940,613,4175,2052,7725,3935,11239,912,1993,1444,6741,17058
89,1397,5947,7560,2823,10103,4120,8934,1417,2546,14511,4708,14990,4306,5913,11416,12920,12741,12442,10275,15279
90,6574,3897,15681,7024,7988,10728,2523,283,12048,11900,11619,933,1174,15617,16238,1038,18673,817,8011,14181
91,8442,13330,6127,231,17591,14741,3659,5622,10479,6042,15786,5233,408,740,8285,5532,1479,1578,5675,6167
92,4260,9743,7406,724,221,7200,17645,7462,300,3278,3734,9520,9394,7212,15566,4717,5878,281,21,881
93,10883,8571,9571,2896,5759,15326,2537,2228,14163,3202,545,2485,8255,8259,11552,4285,8429,3597,2203,14931
94,453,2386,14405,2263,9648,8337,12040,2695,15093,12194,4231,1433,17932,551,7576,3954,3799,2014,7727,3375
95,340,2056,129,9748,2614,1986,553,4100,2392,462,4884,152,10755,6326,2955,13213,10693,6961,8930,3463
96,12378,16812,12512,18211,18905,13571,5017,4207,8841,6129,12995,4604,15845,3146,1927,16380,19097,6328,1149,5247
97,485,4898,2740,2801,5034,597,15553,281,2601,7866,7078,2140,5338,1969,5483,4346,723,2206,15254,12794
98,13259,398,13630,662,7924,932,9664,1614,9887,3128,8224,5473,889,1028,1787,13048,3808,4487,2574,6497
99,433,2074,3116,313,57,15248,11513,2014,1718,2803,1117,937,4854,2195,3835,2017,5634,8649,10216,6075
100,2152,631,11012,1562,296,11611,11559,13037,308,6486,11837,5081,5144,183,14342,11713,2851,377,6240,801
101,7119,1166,3229,11371,407,11984,6358,2742,6944,7777,1445,2362,834,13605,801,2136,1128,11193,3461,1759
102,14678,11697,5701,5553,449,10544,5614,5978,12170,13754,1674,13778,8148,18211,12070,16405,16615,4828,18344,2506
103,64,13277,14454,431,290,797,9755,1707,15286,7150,922,11922,1650,753,15263,2765,8332,4068,1477,10593
104,1820,1332,3338,5276,5229,3700,8695,52,1773,10256,1924,1947,5177,6964,2667,15257,6291,10948,319,2606
105,7597,6040,7539,3751,5919,2089,940,10150,1136,10684,2224,17649,5181,5207,11244,251,8290,613,7858,2214
106,304,13630,18350,8012,768,1082,13727,13777,2901,8425,4718,8895,14262,5814,13280,7916,18217,14156,8837,13913
107,5962,10197,831,228,6033,14348,15029,11295,388,3396,5100,13402,15025,2904,15140,13095,16766,1117,5641,1226
108,12232,7361,17862,4065,945,213,4992,7090,1429,13849,1957,15474,7854,8748,4994,7081,5590,9808,13649,53
109,2805,3966,9383,10045,3794,18166,11525,9060,11266,7891,2549,19097,1982,1853,4604,2325,4190,9879,1078,1896
110,871,864,1370,918,165,6996,1477,7793,400,15286,10593,8332,12168,3194,6455,9482,18573,6924,13269,16301
111,9693,7103,9496,11461,9642,1091,5787,8116,2982,8681,1832,4199,11983,361,15678,6040,5544,11266,7279,1904
112,2557,423,2396,4875,742,3474,5412,4257,16142,2488,17409,7758,10474,8966,6545,6808,11959,14606,2681,3579
113,5888,16248,10351,10533,3016,16728,13788,15983,14212,9521,10592,3806,10428,15507,2978,7453,9483,4562,7267,1384
114,10415,4212,13350,4889,1597,14896,910,5101,2296,8448,4249,1368,7204,7127,14431,2764,4363,2044,2295,9011
115,14704,7263,9905,7582,4299,3867,7313,10168,4781,8120,7423,8117,5056,8856,1773,334,540,6248,2028,4124
116,785,8678,8307,16575,12251,14237,1208,14604,4343,1822,1038,14019,1682,18060,4946,572,18517,11181,2519,78
117,15573,11222,738,707,2427,7084,7206,2570,1091,3508,10628,930,3957,9812,7881,7387,2754,15137,9192,1378
118,645,256,11178,11008,2633,1613,10114,9765,4215,925,2562,13693,1235,8454,8561,10978,14262,1837,2750,735
119,6169,6300,471,17031,6405,752,17294,921,489,925,187,817,90,16827,8116,766,1973,3094,9618,856
120,3323,16,9781,65,1299,16064,15119,7207,3574,12098,10456,7121,10475,4208,961,1726,13581,8612,12869,9891
121,12063,9836,9796,9780,6943,5324,2403,13683,13033,17701,14264,12745,5804,17237,2780,9447,12150,4364,12236,7336
122,2207,14880,14861,2637,7637,645,3482,11953,7978,1433,284,11502,2387,7644,11720,3546,8205,16065,2532,1164
123,201,244,3197,5247,8925,2126,5381,3513,13807,13307,742,3148,3170,2044,11302,8738,8059,987,4941,6782
124,7108,461,7056,464,6970,15336,5127,260,446,1543,797,978,170,3392,4826,279,4844,3311,8226,18662
125,10921,12062,2214,213,13460,14020,1887,14167,8818,6346,8214,6838,11945,55,4351,4393,8376,11235,15373,552
126,6903,6226,14275,2263,237,13980,2325,6856,7880,9336,1915,10908,13399,1851,1244,3678,746,4844,7221,3739
127,58,210,6878,231,15896,13730,9202,4796,4962,17651,15152,3090,7967,298,2748,18126,986,6685,9633,13376
128,6338,4420,804,9396,8447,5573,9121,6536,2172,5783,14985,11739,2052,5656,1708,10978,1026,1947,10427,10173
129,95,9749,501,340,834,540,553,2455,9761,1636,10258,13268,9905,7582,3867,8721,10168,5909,488,18653
130,46,195,264,2542,7796,10519,1174,16866,4625,1292,7827,1749,10456,6169,5295,7004,2754,11738,9501,6689
131,2574,1632,7709,2818,4971,594,7050,183,230,626,10182,1489,2585,15432,12285,10655,6905,17643,8835,326
132,373,7863,9,9777,13488,6912,10551,6725,8528,5548,10904,5178,1894,341,11864,15598,3717,752,685,11847
133,7683,16268,704,4254,4207,10548,14149,7783,2310,2669,151,8701,5622,13654,8298,2375,7499,7206,13099,10703
134,2820,15373,15202,7467,2857,12216,7980,6935,973,8579,1896,13028,749,10693,6089,967,2537,14128,3677,4014
135,1871,12776,6773,2385,2157,14333,2626,5013,9410,1999,73,14873,1788,1462,2200,2642,14321,10800,1875,602
136,225,3559,8710,5930,7313,9877,16587,6472,383,6270,6425,1737,16681,1968,13275,10185,11110,5870,12597,790
137,15564,2122,14566,13488,7975,13324,2109,4614,7306,2333,8699,1283,2478,306,14651,12157,160,6281,1777,9191
138,4981,1874,5666,16369,1194,2866,15815,9985,1029,3757,4021,148,4091,17092,2520,14166,3171,14129,16570,16361
139,17346,11572,14283,6336,14978,13905,8716,10863,2261,6649,5322,3769,4346,10825,7570,10697,14466,3471,1747,8033
140,3966,9383,3221,3699,17753,2325,10273,3794,1613,14435,7633,3612,483,3158,7757,4276,5725,1083,2448,18824
141,10150,6795,15349,4972,10283,2803,3936,15057,11458,2611,5736,10638,10820,14675,11055,10673,17648,11122,11486,3544
