제목,가중치평점
블레이드 러너,8.087702056167222
내일을 향해 쏴라,7.959441367525392
네버엔딩 스토리,7.3560634597387935
총알탄 사나이,7.557339462320658
폭풍 속으로,7.266442593579935
007 옥토퍼시,6.4748667741229395
대부 2,8.98741136581963
수영하는 법,5.840252820727157
뻐꾸기 둥지 위로 날아간 새,8.688121507043517
아저씨는 못말려,6.950649056201156
아파트 열쇠를 빌려드립니다,8.244724782488252
모퉁이 가게,7.834147390673783
세인트 루이스에서 만나요,7.329269664727255
에이리언 2,8.28571990026547
빅,7.272586907431496
에어플레인,7.667515333113139
영 프랑켄슈타인,7.944621867198132
옛날 옛적 서부에서,8.46675316025909
탑 건,6.8866698468016
붉은 10월,7.563528555869993
12명의 성난 사람들,8.982989248025449
황야의 무법자,7.959250053221267
가위손,7.882544515429892
시민 케인,8.277011708604928
시스터 액트,6.376917642091842
카사블랑카,8.480621149877793
야망의 함정,6.770694742617622
펠리칸 브리프,6.564662921894286
툼스톤,7.74479585410499
어 퓨 굿 맨,7.6704802035036055
상류사회,6.755842699100453
The Bishop's Wife,7.22952690962677
브라질,7.858598046647782
E. T.,7.780053463824195
페리스의 해방,7.777011763292987
이레이저 헤드,7.345272028797445
람보,7.669512341323396
로보캅,7.571502069971289
크리스마스 캐롤,7.738440451316345
더티 댄싱,6.978913687649585
지옥의 묵시록,8.383824662374264
사탄의 인형,6.569610112829086
007 살인 번호,7.16663197106079
바람과 함께 사라지다,8.070460821185977
북북서로 진로를 돌려라,8.269156775181532
아담스 패밀리 2,6.758720551429125
죠스,7.984949497008551
에이리언,8.387781636375786
빽 투 더 퓨쳐 2,7.784568919848245
사랑은 비를 타고,8.257953039670548
스타워즈: 에피소드 6 제다이의 귀환,8.290111569128552
멍하고 혼돈스러운,7.560455119566902
현기증,8.27477182380233
애니,6.533935027889317
슈퍼맨,7.2660523911797
미세스 다웃파이어,6.982226096869382
라스트 모히칸,7.654640312700662
라비린스,7.353440382708274
빅 트러블,7.257066259433151
그리스,7.179000043563354
보디가드,6.285961918190141
로드 하우스,6.557197342012797
쓰리 아미고,6.464813483772115
굿모닝 베트남,7.257379644400793
라스트 왈츠,7.750524346805172
늑대와 춤을,7.966121612874151
배리 린든,8.044546081490237
스팅,8.261415730521211
도망자,7.772397927052496
아웃사이더,7.040012039082245
솔라리스,8.000670453658337
양들의 침묵,8.589004991317637
캔디맨,6.661359677336052
그렘린 2: 뉴욕 대소동,6.3780491302245945
무사 쥬베이,7.694025282072716
미지와의 조우,7.564269092806643
동방불패,6.520126410363579
공룡시대,7.329102400942144
베스트 키드,7.2727150059948995
몬티 파이튼과 브라이언의 삶,8.076643440007516
토탈 리콜,7.4792531602590895
델마와 루이스,7.455443028744353
