제목,원제,개봉일,스트리밍,대여,구매,평점,장르,재생 시간,출연진,시놉시스,이미지,감독
닥터스,,2016,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['88%', '7.7 (2k)']","['드라마', '코미디', '로맨스']",59분,"['Kim Rae-won', 'Park Shin-hye', 'Yoon Kyun-sang', 'Lee Sung-kyung', 'Kim Min-seok', 'Jang Hyun-sung', 'Yu Da-in', 'Baek Sung-hyun', 'Ji Soo', 'Kim Young-ae', 'Uhm Hyo-seop', 'Pyo Ye-jin', 'Moon Ji-In', 'Jo Hyun-sik', 'Jeon Kuk Hwan', 'Kal So-won', 'Ji E-su']","과거의 상처를 딛고 의사가 된 두 남녀가 여러 인간 군상을 만나며 성장하고, 평생 단 한번뿐인 사랑을 시작하는 휴먼 메디컬 드라마.",https://images.justwatch.com/poster/192073769/s276/doctors.webp,['Oh Choong-hwan']
38 사기동대,,2016,,"{'Naver Store': ['1개', 'HD']}",,"['84%', '7.9']","['코미디', '드라마', '범죄']",1시간 4분,"['Ma Dong-seok', 'Seo In-guk', 'Choi Soo-young', 'Song Ok-suk', 'Go Gyu-pil', 'Lee Sun-bin', 'Ahn Nae-sang', 'Lee Hak-joo', 'Jo Woo-jin', 'Jung In-gi', 'Oh Dae-hwan', 'Heo Jae-ho']","“대한민국 헌법 제38조,",https://images.justwatch.com/poster/249122503/s276/squad-38.webp,['Hwang Joon-Hyuk']
경감 메그레,Maigret,2016,"{'wavve': ['2개', 'HD']}",,,['87%'],"['드라마', '범죄']",1시간 28분,"['Rowan Atkinson', 'Leo Staar', 'Shaun Dingwall', 'Alexander Campbell', 'Colin Mace']",파리를 배경으로 펼쳐지는 연쇄살인 사건과 살인범을 뒤쫓는 메그레 경감의 수사를 다룬 추리 드라마,https://images.justwatch.com/poster/4099197/s276/gyeonggam-megeure.webp,
아버님 제가 모실게요,,2016,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['90%', '7.8']",['드라마'],1시간 6분,"['Kim Jae-won', 'Park Eun-bin', 'Lee Tae-hwan', 'Lee Soo-kyung', 'Kim Yong-rim', 'Lee Ye-won', 'Na Moon-hee']","고생해서 출가시킨 4남매가 다시 부모의 품으로 유턴하면서 벌어지는 명랑, 속상(?)한 이야기! 뼈 빠지게 고생해 드디어 4남매 모두를 출가시키고 홀가분한 여생을 보내려던 형섭과 정애부부. 함께 스포츠 댄스도 배우고 선상 크루즈 여행도 떠날 생각에 정애는 콧노래가 절로 난다. 그러던 어느 날... 마른 하늘에 날벼락보다도 더 심각한 사태가 벌어진다. 이들의 4남매가 동시에 다시 집으로 돌아온 것이다..!!",https://images.justwatch.com/poster/125453606/s276/abeonim-jega-mosilgeyo.webp,['Lee Dae-young']
길모어 걸스: 한해의 스케치,Gilmore Girls: A Year in the Life,2016,"{'Netflix': ['1개', '4K']}",,,"['83%', '7.6 (34k)']","['드라마', '코미디']",1시간 32분,"['Lauren Graham', 'Alexis Bledel', 'Scott Patterson', 'Kelly Bishop']","로렐라이와 로리, 에밀리와 스타즈 할로우 사람들은 9년이 지난 지금 어떻게 살고 있을까? 로리는 뉴요커 잡지에 기고를 하며 기자로서 나름 훌륭한 커리어를 쌓아가지만 새로운 남자친구 폴과의 연애에는 진심을 다하지 못한다. 마을에 남은 로렐라이도 드래곤플라이 여관을 운영하며 행복한 삶을 이어가고 있지만 루크와는 결혼하지 않은 채 9년째 동거 중이다. 로리의 할머니 에밀리는 갑작스러운 남편 리처드의 죽음으로 새로운 삶에 직면하게 된다. 로리는 일과 사랑을 모두 쟁취할 수 있을까? 로렐라이는 과연 루크랑 결혼할까? 에밀리는 리처드가 없는 혼자만의 삶을 어떻게 꾸려나갈 것인가? 길모어 걸스의 끝나지 않은 이야기가 지금 시작된다.",https://images.justwatch.com/poster/253057134/s276/gilmore-girls-a-year-in-the-life.webp,
이지,Easy,2016,"{'Netflix': ['3개', '4K']}",,,"['72%', '6.9 (13k)']","['코미디', '드라마']",31분,,"스타 배우들이 펼치는 단편 시리즈. 사랑과 섹스, 첨단기술과 문화에 관한 현대인의 문제에 대해 과연 시카고인들은 일상에서 어떻게 대처해 갈까?",https://images.justwatch.com/poster/36640835/s276/easy.webp,['Joe Swanberg']
수수하지만 굉장해! 교열걸 코노 에츠코,地味にスゴイ! 校閲ガール・河野悦子,2016,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,,"['70%', '6.5']","['드라마', '코미디']",1시간 3분,"['Satomi Ishihara', 'Masaki Suda', 'Tsubasa Honda', 'Munetaka Aoki', 'Gorô Kishitani', 'Masato Wada', 'Noriko Eguchi', 'Hiromasa Taguchi', 'Rika Adachi', 'Naruki Matsukawa', 'Miyoko Yoshimoto', 'Takeshi Kaga', 'Soda Marie', 'Hidekazu Nagae']",패션 잡지의 편집자를 꿈꾸며 출판사에 입사했지만 생각지도 못한 수수한 교열부에 배속된 주인공이 다양한 문제들을 통해 성장하는 이야기를 그린 드라마,https://images.justwatch.com/poster/245409336/s276/susuhajiman-goengjanghae-gyoyeolgeol-kono-eceuko.webp,
러브,Love,2016,"{'Netflix': ['3개', '4K'], 'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['82%', '7.6 (39k)']","['코미디', '드라마', '로맨스']",32분,"['Gillian Jacobs', 'Paul Rust', 'Chris Witaske', ""Claudia O'Doherty""]",주드 아패토우가 공동 제작한 이 대담한 새 코미디 시리즈는 까칠한 미키와 순한 거스가 신세대 연애를 하면서 경험하는 감격과 고난의 순간을 보여 준다.,https://images.justwatch.com/poster/198119011/s276/love.webp,
마법사의 신부 별을 기다리는 이,魔法使いの嫁 星待つひと,2016,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,,['80%'],"['SF', '애니메이션', '스릴러']",27분,"['Atsumi Tanezaki', 'Ryota Takeuchi', 'Ami Naito', 'Natsumi Fujiwara', 'Honoka Inoue', 'Yoshiaki Hasegawa', 'Hana Sato', 'Kyouko Yamaguchi', 'Aya Hisakawa', 'Misaki Kuno', 'Aya Endo', 'Takahiro Sakurai', 'Kikuko Inoue', 'Yuko Kaida', 'Koki Uchiyama']","엘리어스의 부탁으로 치세가 볼 마법 교재들을 준비하던 안젤리카는 일본 그림책 한 권을 사이에 끼워 넣는다. 그 책 한 권으로, 평범한 사람들에겐 보이지 않는 것이 보여 따돌림 받던 치세의 어릴 적 이야기가 펼쳐진다.",https://images.justwatch.com/poster/121840274/s276/mabeobsayi-sinbu-byeoleul-gidarineun-i.webp,
Cooked: 요리를 욕망하다,Cooked,2016,"{'Netflix': ['1개', '4K']}",,,"['80%', '7.6']",['다큐멘터리'],53분,['Michael Pollan'],"요리를 한다는 것은 어떤 의미일까? 유명 작가 마이클 폴란이 그 답을 찾아 나선다. 불, 물, 공기, 그리고 흙을 활용한 요리법. 이를 통해 그가 깨달은 인간과 삶의 가치.",https://images.justwatch.com/poster/134042771/s276/cooked.webp,"['Peter Bull ', ' Caroline Suh ', ' Ryan Miller']"
