제목,원제,개봉일,스트리밍,대여,구매,평점,장르,재생 시간,출연진,시놉시스,이미지,감독
최고의 사랑,,2011,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['2개', 'HD']}","['84%', '7.8 (1k)']","['코미디', '드라마', '로맨스']",1시간 3분,"['Cha Seung-won', 'Gong Hyo-jin', 'Yoo In-na', 'Yoon Kye-sang', 'Bae Seul-ki', 'In Gyo-jin', 'Jung Woo Yeon', 'Jeong Jun-ha']","걸그룹 출신이었다가 비호감으로 전락해 연예계에서 근근히 활동하는 한물 간 여자 연예인과 인기 절정 남자 배우의 로맨스를 그린 드라마. <미남이시네요> <환상의 커플> 등의 홍정은, 홍미란 작가가 참여한 드라마이다.",https://images.justwatch.com/poster/198376167/s276/the-greatest-love.webp,['Lee Dong-yoon']
마이더스,,2011,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['74%', '7.3']",['드라마'],1시간 3분,"['Jang Hyuk', 'Lee Min-jung', 'Kim Hee-ae', 'No Min-woo', 'Yoon Je-moon', 'Cheon Ho-jin', 'Shin So-yul', 'Lee Sang-yeob', 'Jung Suk-won', 'Ricky Kim', 'Han Yoo-yi', 'Lee Deok-hwa', 'Kim Sung-oh', 'Choi Jung-woo']",한국 증권가를 배경으로 기업 간 인수 합병을 그린 드라마다.,https://images.justwatch.com/poster/29877587/s276/midas.webp,['Kang Shin-hyo']
환상의 짝꿍,Unlikely Animal Friends,2012,"{'Disney Plus': ['3개', 'HD']}",,,"['80%', '7.6']",['다큐멘터리'],45분,,자연의 세상은 놀라운 이야기로 가득하지만 가끔 동물은 본능에 반하는 듯한 행동을 보일 때가 있다. 이 따뜻한 시리즈에서 흔히 볼 수 없는 관계를 가진 듀오를 보며 다른 종과 어울리는 동물의 감정적 힘을 느껴보자.,https://images.justwatch.com/poster/145294836/s276/hwansangyi-jjagggung.webp,
고대 문명,Ancient Worlds,2010,"{'wavve': ['1개', 'HD']}",,,"['80%', '7.6']","['다큐멘터리', 'MadeinEurope']",59분,['Richard Miles'],인류의 발생에서부터 고대 로마 제국의 위대함까지 여섯 편의 다큐로 고대의 모든 것을 만난다.,https://images.justwatch.com/poster/181783873/s276/godae-munmyeong.webp,
DD 북두의 권,DD北斗之拳,2011,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['64%', '6.0']","['코미디', '애니메이션', '액션']",23분,,'북두의 권'의 패러디 개그 애니메이션,https://images.justwatch.com/poster/246951030/s276/dd-bugduyi-gweon.webp,
빠담빠담... 그와 그녀의 심장박동소리,,2011,,,"{'Naver Store': ['1개', 'HD']}","['49%', '7.7']","['SF', '드라마', '판타지', '로맨스']",1시간 5분,"['Jung Woo-sung', 'Kim Bum', 'Han Ji-min', 'Kim Sung-ryung', 'Yoon Joo-sang', 'Kim So-hyun', 'Choi Tae-joon', 'Na Moon-hee', 'Lee Jae-Woo']","될 대로 되라는 식으로 살아왔던 그가, 사랑해서는 안 되는 그녀와 만나 겪게 되는 기적 이야기를 통해 그와 그녀의 숨 막히는 사랑을 그린 작품이다. 프랑스어로 두근두근을 뜻하는 '빠담빠담'은 가슴 뛰는 멜로드라마다.",https://images.justwatch.com/poster/173523219/s276/season-4-2011.webp,['Kim Kyu-tae']
프레지던트,,2010,"{'Netflix': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['70%', '7.1']",['드라마'],1시간 4분,"['Choi Soo-jong', 'Ha Hee-ra', 'Lee Sung-min', 'Jay Kim', 'Cho Eun-sook', 'Kim Jung-nan', 'Wang Ji-hye', 'Kang Shin-il', 'Im Ji-eun']",야심 차고 재능 넘치는 정치인은 대통령 당선을 위한 험난한 여정을 시작하는 한편으로 복잡한 가정 내 문제에 대처해 나간다.,https://images.justwatch.com/poster/198472908/s276/president.webp,['Kim Hyeong-il']
볼수록 애교만점,,2010,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}",,"['코미디', '가족', '로맨스']",22분,"['Chae Sang-woo', 'Lee Young-yoo', 'Choi Yeo-jin', 'Song Ok-suk', 'Kim Young-kwang', 'Krystal Jung', 'Jin Seo-yeon']","Song Ok Sook's husband walked out on her after his business went bankrupt. After raising her three daughters for on her own for 15 years, her husband comes back into their lives and acts as if nothing's happened. To make matters worst, her eldest daughter, Ji Won, who is a doctor, tells her that she wants to marry Sung Soo, a man who she doesn't like. Find out how Ok Sook gets her life back under control!",https://images.justwatch.com/poster/257196144/s276/bolsurog-aegyomanjeom.webp,
무신,,2012,"{'wavve': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}","['92%', '8.2']","['드라마', '역사', 'SF']",1시간 3분,"['Kim Joo-hyuk', 'Park Sang-min', 'Park Hae-soo', 'Lee Seung-hyo', 'Ahn Jae-mo', 'Cheon Ho-jin', 'Park Sang-wook', 'Kim Gyu-ri', 'Kang Shin-il', 'Hong Ah-reum', 'Koh Soo-hee', 'Cho Eun-sook', 'Kim Ha-eun', 'Jin Won', 'Oh Yeong-su']",강력한 무신 정권이 존재하던 시기의 고려를 배경으로 약 60여 년간 황제를 대신해 통치해오던 막부를 뒤엎고 최고의 자리에 오르는 노예 출신 한 남자의 이야기를 다룬 드라마,https://images.justwatch.com/poster/16721182/s276/god-of-war.webp,['Kim Jin-min']
아이돌스타 육상 선수권대회,,2010,,,"{'Naver Store': ['1개', 'HD']}","['85%', '7.9']","['RealityTV', '액션', '스포츠']",1시간 9분,"['Park Jeong-su', 'Shin Dong-hee', 'Jeon Hyun-moo', 'Kim Da-hyun', 'JooE', 'Lee Dae-hwi', 'Hong Jin-young', 'DinDin', 'Park Soo-bin', 'Hyun Seung-hee']",MBC에서 방영하는 명절 특집 프로그램.,https://images.justwatch.com/poster/144470494/s276/aidolseuta-yugsang-seonsugweondaehoe.webp,
신의 퀴즈,,2010,,"{'Naver Store': ['3개', 'HD']}",,"['85%', '7.4']","['스릴러', '범죄', '드라마']",58분,"['Ryu Deok-hwan', 'Yoon Joo-hee', 'Park Jun-myun', 'Kim Jae-won', 'Park Hyo-joo', 'Kim Jun-han', 'Yoon Bo-ra', 'Kim Ki-doo', 'Yoo Jung-Rae']",한국대 법의관 사무소의 엘리트 의사들이 미궁에 빠진 의문의 죽음을 추적하고 희귀병에 얽힌 미스터리를 풀어가는 과정을 그린 드라마,https://images.justwatch.com/poster/197971719/s276/sinyi-kwijeu.webp,
전우치,,2012,,,"{'Naver Store': ['1개', 'HD']}","['78%', '6.6']","['코미디', '액션', '판타지', '로맨스']",1시간 5분,"['Cha Tae-hyun', 'Uee', 'Lee Hee-jun', 'Baek Jin-hee', 'Kim Gab-soo', 'Sung Dong-il', 'Lee Byung-Joon', 'Ahn Yong-jun', 'Hong Jong-hyun', 'Kim Kwang-kyu', 'Park Hae-jun', 'Lee Jae-yong', 'Jo Jae-yoon', 'Lee Ju-yeon']","고전소설 전우치전을 소재로 한 퓨전 무협 사극, 친구의 배신으로 아버지처럼 여겼던 홍길동과 사랑한 여인 홍무연을 잃고, 복수를 꿈꾸게 된 율도국 도사 전우치의 이야기.",https://images.justwatch.com/poster/196681543/s276/jeon-woo-chi.webp,['Kang Il-soo']
주홍글씨,,2010,,,"{'Naver Store': ['1개', 'HD']}",,['드라마'],32분,"['Lee Seung-yeon', 'Kim Na-woon', 'Lee Se-na', 'Kim Yoo-bin', 'Noh Joo-hyun', 'Baek Il-seob']",,,
싸인,,2011,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['84%', '7.8']","['범죄', '스릴러']",1시간 2분,"['Park Shin-yang', 'Kim Ah-joong', 'Jun Kwang-ryul', 'Uhm Ji-won', 'Jung Gyu-woon', 'Hwang Sun-hee', 'Jung Eun-pyo', 'Jang Hyun-sung', 'Song Jae-ho']",국립과학수사연구원 내에서 벌어지는 에피소드를 그린 드라마,https://images.justwatch.com/poster/196659886/s276/sign.webp,['Jang Hang-jun']
보고싶다,,2012,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['86%', '7.7']","['드라마', '로맨스']",1시간 1분,"['Park Yoo-chun', 'Yoon Eun-hye', 'Yoo Seung-ho', 'Yeo Jin-goo', 'Kim So-hyun', 'Ahn Do-gyu', 'Han Jin-hee', 'Jang Mi-Inae', 'Do Ji-won', 'Lee Se-young', 'Min Sung-wook', 'Cha Hwa-yeon', 'Song Ok-suk', 'Kim Mi-kyeong']","열 다섯, 가슴 설렌 첫 사랑의 기억을 송두리째 앗아간 쓰라린 상처를 가슴에 품고 살아가는 두 남녀의 숨바꼭질 같은 사랑이야기를 그린 정통 멜로 드라마",https://images.justwatch.com/poster/149193253/s276/missing-you.webp,"['Lee Jae-Dong ', ' Park Jae-bum']"
총각네 야채가게,,2011,"{'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['64%', '7.7']","['로맨스', '드라마']",1시간 4분,"['Kim Young-kwang', 'Ji Chang-wook', 'Wang Ji-hye', 'Oh Jae Moo', 'Park Soo-jin', 'Hwang Shin-hye', 'Lee Se-young', 'Park Won-sook', 'Lee Kwang-soo', 'Jeon No-min']",자신의 일에 최선을 다해 노력하는 건강한 젊은이들의 일과 꿈 그리고 사랑을 다룬 TV 드라마,https://images.justwatch.com/poster/197100755/s276/bachelors-vegetable-store.webp,['Lee Joon Hyung']
대물,,2010,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['81%', '7.5']",['드라마'],1시간 5분,"['Ko Hyun-jung', 'Kwon Sang-woo', 'Cha In-pyo', 'Song Ok-suk']",대한민국 최초 女子 대통령 만들기 프로젝트! 혼잡한 버스 안에서 잠을 자던 혜림은 순간 엉덩이를 더듬는 누군가의 손에 놀라 잠을 깨어 성추행범의 손을 움켜잡는다. 그 모습을 목격한 도야는 혜림과 함께 발뺌하는 성추행범을 데리고 경찰서를 찾는다. 뜻밖의 소란으로 서울 가는 막차를 놓친 혜림은 다음날 아나운서 시험을 앞두고 난감한 상황에 놓이고 도야는 오토바이를 끌고와 혜림을 태워 막차를 잡기 위해 도로를 질주한다. 우여곡절 끝에 아나운서가 된 혜림은 큐 사인과 함께 뉴스를 읽는데 첫방송에 딸꾹질을 하는 방송 사고를 내고 고소공포증으로 헬기안 취재까지 망치는 등 연신 사고를 치다 한달만에 보도국에서 짤리고 만다. 결국 아이들 프로그램을 진행하며 소소한 일상을 꿈꾸던 혜림이었지만 어느날 남편 민구가 아프간으로 취재를 나갔다가 피랍 되고 마는데...,https://images.justwatch.com/poster/139077354/s276/big-thing.webp,"['Jo Hyun-tak ', ' Kim Cheol-kyu']"
컬러 오브 우먼,,2011,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}",,,1시간 0분,"['Jae Hee', 'Lee Soo-kyung', 'Yoon Soy']",A drama that contrasts a woman who succeeds with knowledge and reason and a woman who weaponizes appearance and sensitivity.,,
신데렐라 언니,,2010,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['73%', '6.9']",['드라마'],1시간 4분,"['Moon Geun-young', 'Seo Woo', 'Chun Jung-myung', 'Ok Taec-yeon', 'Ko Se-won', 'Choi Il-hwa', 'Lee Mi-sook', 'Kim Gab-soo', 'Yeon Woo-jin']","'신데렐라'를 21세기형으로 재해석한 작품으로 계모의 딸, '신데렐라 언니'가 신데렐라를 보며 스스로 정체성을 찾아가는 이야기를 통해 또 다른 동화를 완성해가는 드라마다.",https://images.justwatch.com/poster/139146145/s276/cinderellas-sister.webp,['Kim Young-jo']
경세황비,倾世皇妃,2011,"{'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['70%', '6.6']","['드라마', '역사', '로맨스']",46분,"['Ruby Lin Xin-Ru', 'Wallace Huo', 'Kevin Yan', 'Tony Yang']",전쟁으로 혼란하던 중국의 오대십국시기에 초나라 공주 복아(임심여 분)는 나라가 망하고 자신의 눈 앞에서 부모의 죽음을 목도한다. 슬픔에 잠긴 복아는 복수를 위해 예전에 자신이 혼인을 거부했던 북한 왕조의 황제 연성을 찾아가는데...,https://images.justwatch.com/poster/139140842/s276/gyeongsehwangbi.webp,
모테키,モテキ,2010,"{'wavve': ['1개', 'HD']}",,,"['80%', '7.6']",['코미디'],30분,"['Lily Franky', 'Hikari Mitsushima', 'Mirai Moriyama', 'Maho Nonami', 'Rio Matsumoto', 'Rinko Kikuchi']","30대를 눈 앞에 둔 인기 없는 파견사원 후지모토 유키요는 어느 날, 갑자기 아는 여자들로부터 차례차례 연락을 받는다. 이른바 ‘모테키’ (モテ期, 인기있는 시기)가 시작된 것이다. 이제까지 모테키가 오지 않았던 후지모토는 초조해 하면서도 여자와 콘서트에 가거나 수족관에 가는 등, 정신없이 데이트나 이벤트를 해나가지만...",https://images.justwatch.com/poster/139024817/s276/moteki.webp,['Hitoshi One']
내 마음이 들리니?,,2011,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['83%', '7.7']","['드라마', '코미디', '로맨스']",1시간 5분,"['Kim Jae-won', 'Hwang Jung-eum', 'Namkoong Min', 'Go Joon-hee', 'Lee Kyu-han', 'Seo Young-joo', 'Kim Sae-ron', 'Kang Chan-hee', 'Jeong Bo-seok', 'Youn Yuh-jung', 'Lee Sung-min']",후천성 청각장애를 딛고 일어서는 남녀의 아름다운 사랑이야기를 그린 휴먼 드라마다.,https://images.justwatch.com/poster/198377565/s276/nae-maeumi-deulrini.webp,
Masha's tales,Машины сказки,2012,"{'Netflix': ['1개', 'HD']}",,,"['61%', '6.3']","['가족', '애니메이션']",5분,,"Masha, it turns out, loves to tell stories! And she tells them, as would any child with creativity, a little in her own way - because children see the world, not as we, adults.",https://images.justwatch.com/poster/151394124/s276/mashiny-skazki.webp,['Oleg Kuzovkov']
산부인과,,2010,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['85%', '7.0']","['드라마', '로맨스']",1시간 7분,"['Jang Seo-hee', 'Go Joo-won', 'Seo Ji-seok', 'Jung Ho-bin', 'Lee Young-eun', 'Lee Ki-young', 'Ahn Sun-Young']",한 지방 병원 산부인과를 배경으로 여의사 서혜영의 일과 사랑 이야기를 다룬 메디컬 드라마다.,https://images.justwatch.com/poster/20610600/s276/sanbuingwa.webp,
아름다운 그대에게,,2012,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['77%', '7.2 (1k)']","['드라마', '코미디', '로맨스']",1시간 4분,"['Choi Min-ho', 'Sulli', 'Lee Hyun-woo', 'Kang Ha-neul', 'Kim Ji-won', 'Hwang Kwang-hee', 'Kim Woo-bin', 'Seo Jun-yeong', 'Yoo Min-kyu', 'Kim Ian', 'Lee Han-wi', 'Sunwoo Jae-duk', 'Kang Chan-hee', 'Nam Ji-hyun', 'Julien Kang', 'Jung Hye-sung', 'Kim Yoo-bin']",남장미소녀가 남자 체고에 위장전학 오면서 벌어지는 좌충우돌 생존기를 그린 드라마.,https://images.justwatch.com/poster/133101535/s276/to-the-beautiful-you.webp,
야생 인도의 비밀,Secrets of Wild India,2012,"{'Disney Plus': ['1개', 'HD']}",,,"['75%', '8.1']",['다큐멘터리'],49분,['David Attenborough'],"본 3부작에서는 각 에피소드마다 하나의 상징적인 생태계에 초점을 맞추고, 각각의 고유한 환경에서 생명체들이 어떻게 살아가는지 보여준다. 아름다움, 기이한 조합, 고난, 죽음과 새로운 생명의 탄생으로 구성된 이 시리즈는 시청자들에게 아시아 자연사의 꽃인 야생의 장관을 가까이서 볼 기회를 제공한다.",https://images.justwatch.com/poster/206881083/s276/yasaeng-indoyi-bimil.webp,['Duncan Chard']
국가가 부른다,,2010,,"{'Naver Store': ['1개', 'HD']}",,"['78%', '6.6']","['드라마', '코미디', '로맨스']",1시간 4분,"['Lee Soo-kyung', 'Kim Sang-kyung', 'Ryu Jin', 'Horan', 'Kang Shin-il', 'Yang Geum-seok', 'Lee Byung-Joon', 'Hyun Woo', 'Park Hyo-joo']","작전 실패의 원인을 찾다 CCTV에 찍힌 오하나를 확인한 고진혁, 그러나 이차장으로부터 수사에서 물러나라는 처분을 받는다. 한편 헤어진 남자친구의 약혼 소식을 들은 오하나는 약혼식이 열리는 호텔로 달려가고, 고진혁은 이차장에게 수사 허락을 받으러 이송문화재단 기념 행사장으로 가는데..",https://images.justwatch.com/poster/194304753/s276/guggaga-bureunda.webp,
넝쿨째 굴러온 당신,,2012,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['89%', '7.7']","['코미디', '드라마']",1시간 3분,"['Youn Yuh-jung', 'Yu Jun-sang', 'Jo Yoon-hee', 'Jin Kyung', 'Kim Chang-sook', 'Yang Hee-kyung', 'Oh Yeon-seo', 'Park Soo-jin', 'Kang Min-hyuk', 'Kang Dong-ho', 'Kim Yong-hee', 'Yang Jung-ah', 'Kim Nam-ju', 'Kil Yong-woo']","'능력 있는 고아'를 이상형으로 꼽아온 커리어우먼 차윤희가 완벽한 조건의 외과 의사를 만나 결혼에 골인하지만, 상상하지도 못했던 시댁 등장으로 생기는 이야기를 그린 드라마다.",https://images.justwatch.com/poster/198273303/s276/my-husband-got-a-family.webp,['Kim Hyung-suk']
드라마의 제왕,,2012,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['66%', '7.8']","['드라마', '코미디', '로맨스']",1시간 4분,"['Kim Myung-min', 'Jung Ryeo-won', 'Choi Si-won', 'Jeong Man-sik', 'Oh Ji-eun', 'Kwon Hae-hyo', 'Yoon Joo-sang', 'Seo Ju-hee', 'Heo Joon-seok']","드라마는 무조건 돈이 되어야 한다는 베테랑 외주 제작사 대표와 드라마는 '인간애'라고 주장하는 신인 작가, 타협을 모르는 국내 톱스타 배우가 만나 펼치는 드라마 제작기를 코미디 풍으로 그린 드라마.",https://images.justwatch.com/poster/143658529/s276/the-king-of-dramas.webp,['Hong Sung-chang']
해피엔딩,,2012,,,"{'Naver Store': ['1개', 'HD']}",['85%'],['드라마'],58분,"['Kim So-eun', 'Choi Min-soo', 'Park Jung-chul']","Doo Soo is a hotblooded local news reporter and a family man. Having lived his life for his family, he believed that he had been a good husband and father. Yet, the truth is that he was a tyrant at home, and due to his busy schedule, he had been unable to communicate with his family.",https://images.justwatch.com/poster/165514925/s276/haepiending.webp,['Kwak Young Beom']
회도삼국지,回到三國,2012,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}",,['코미디'],46분,"['Kenneth Ma', 'Raymond Lam', 'Tavia Yeung', 'Sharon Chan', 'Ngo Ka-nin', 'Ruco Chan', 'Law Lok-Lam', 'Ram Chiang', 'Mary Hon', 'Lau Kong', 'Jack Wu', 'Rachel Kan', 'Cilla Kung']",시공을 건너 삼국시대로 흘러간 사마신이 역사를 바꿀 위대한 영웅이 되어가는 모습을 그린 드라마,,
패션왕,,2012,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['70%', '6.0']",['드라마'],1시간 4분,"['Yoo Ah-in', 'Shin Se-kyung', 'Lee Je-hoon', 'Kwon Yu-ri', 'Chang Mi-hee', 'Lee Han-wi', 'Lee Hye-sook', 'Yoon Ki-won', 'Koh Soo-hee', 'Ra Mi-ran', 'Ra Jae-Woong', 'Han Yoo-yi', 'Seo-won Cha', 'Seo Young-joo', 'Kim Sae-ron', 'Natalie Savage']",동대문 시장에서 출발해 세계적인 디자이너로 성공하는 사람들의 이야기를 그린 드라마다.,https://images.justwatch.com/poster/179994628/s276/fashion-king.webp,['Lee Myung-Woo']
아이두 아이두,,2012,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['75%', '6.7']","['드라마', '코미디']",1시간 4분,"['Kim Sun-a', 'Park Gun-hyung', 'Lee Jang-woo', 'Im Soo-hyang', 'Park Young-kyu', 'Yoon Joo-sang', 'Jo Hee-bong', 'Kim Soo-hyeon']",최고의 구두디자이너인 골드미스가 하룻밤 실수로 신입사원의 아이를 갖게되며 벌어지는 일을 그린 로맨틱 코메디 드라마.,https://images.justwatch.com/poster/198646270/s276/i-do-i-do.webp,
이웃집 웬수,,2010,,,"{'Naver Store': ['1개', 'HD']}",,['로맨스'],13분,"['Son Hyun-joo', 'Yoo Ho-jeong', 'Shin Sung-rok', 'Choi Won-young', 'Han Chae-ah', 'Kim Mi-sook', 'Kim Sung-ryung']","Married couple Kim Sung-jae & Yoon Ji-yeong gets divorced. Prior to their divorce, the couple had an argument and their five year old son left the house. Their child died by a car accident. The guilt from their child's death weighted heavily on the parents and eventually they divorced because of this.",https://images.justwatch.com/poster/21138604/s276/iusjib-wensu.webp,['Cho Nam-guk']
미스 리플리,,2011,,,,"['75%', '6.5']","['드라마', '범죄', '로맨스']",1시간 4분,"['Lee Da-hae', 'Park Yoo-chun', 'Kim Seung-woo', 'Kang Hye-jung', 'Lee Sang-yeob', 'Song Jae-ho', 'Kim Jung-tae', 'Kim Chang-wan', 'Jang Yong', 'Park Ha-young', 'Hwang Ji-hyeon', 'Jung Da-bin', 'Choi Myung-gil']","여기, 한 여자가 있다. 그녀는 돈도 없고, 학벌도 없고, 운도 없는,그래서 부당한 일을 당해도 도망치거나 참는 것으로밖에 세상에 응전할 방법이 없는 낯익은 우리 이웃의 딸이다.",https://images.justwatch.com/poster/151317406/s276/miss-ripley.webp,
Tea Time with Tayla,,2011,,,"{'Naver Store': ['1개', 'HD']}","['81%', '7.7']",['가족'],30분,,Tayla does sing-a-longs and nursery rhymes for kids.,https://images.justwatch.com/poster/139166311/s276/tea-time-with-tayla.webp,
신들의 만찬,,2012,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['73%', '7.5']",['드라마'],1시간 5분,"['Sung Yu-ri', 'Seo Hyun-jin', 'Joo Sang-wook', 'Lee Sang-wu', 'Kim Bo-Yeon', 'Park Jeong-min', 'Yeon Min-ji', 'Oh Na-ra', 'Sean Dulake', 'Jeon In-hwa']",한식을 소재로 삼아 운명적으로 얽힌 두 여성 요리사의 이야기를 그린 드라마다.,https://images.justwatch.com/poster/195908025/s276/season-1-2012-1.webp,['Lee Dong-yoon']
49일,,2011,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['88%', '8.0 (1k)']","['SF', '판타지', '로맨스', '드라마']",1시간 5분,"['Lee Yo-won', 'Nam Gyu-ri', 'Jo Hyun-jae', 'Bae Soo-bin', 'Jung Il-woo', 'Seo Ji-hye', 'Bae Geu-rin', 'Kim Yoo-bin', 'Moon Hee-kyung', 'Jo Min-ah', 'Choi Jung-woo', 'Yu Ji-in', 'Son Byung-ho', 'Kang Sung-min', 'Yoon Bong Gil', 'Kim Ho-chang', 'Jin Ye-sol']",‘인간은 모두 죽는다’ 한번 태어난 모든 사람은 죽는다는 절대불변의 진리를 모르는 사람은 없다,https://images.justwatch.com/poster/123957271/s276/49-days.webp,"['Park Yong-soon ', ' Jo Young Kwang']"
별을 따다줘,,2010,,,"{'Naver Store': ['1개', 'HD']}","['81%', '7.5']","['드라마', '코미디', '로맨스']",58분,['Choi Jung-won'],부모의 갑작스런 죽음 후 다섯 명의 입양한 동생들을 책임지게 된 스물다섯 보험사 직원 진빨강과 생모에게 버림받은 상처를 안고 살아가는 변호사 원강하의 사랑을 다룬 드라마다.,https://images.justwatch.com/poster/139209243/s276/byeoleul-ddadajweo.webp,['Oh Jin-seok']
나는 전설이다,,2010,,,"{'Naver Store': ['1개', 'HD']}","['72%', '6.4']","['드라마', '음악', '로맨스']",57분,"['Kim Jung-eun', 'Kang Soo-in', 'Jeon Jae-hee', 'Mrs. Hong', 'Yang Ah-reum']","대한민국 아줌마들이 모여 전설의 밴드를 결성, 내면의 아픔을 음악으로 달래는 동시에 한 인간으로 맞서는 여성들의 성장 스토리를 그린 드라마다.",https://images.justwatch.com/poster/198473084/s276/i-am-legend.webp,
영광의 재인,,2011,"{'wavve': ['1개', 'HD']}",,,"['77%', '7.3']","['드라마', '로맨스']",1시간 7분,"['Park Min-young', 'Chun Jung-myung', 'Lee Jang-woo', 'Lee Jin', 'Son Chang-min', 'Park Sung-woong', 'Nam Bo-ra', 'Kim Sung-oh', 'Choi Myung-gil']",순수 자뻑남 김영광과 절대 긍정녀 윤재인의 행복 여정기,https://images.justwatch.com/poster/139216115/s276/glory-jane.webp,['Lee Jung-sub']
제중원,,2010,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['96%', '8.3']",['드라마'],1시간 8분,"['Park Yong-woo', 'Cha Jae Dol', 'Han Hye-jin', 'Cha Hwa-yeon', 'Geum Bo-ra', 'Choi Ja-hye', 'Ricky Kim', 'Kang Nam-Gil', 'Cha Hwa-yeon', 'Kim Tae-hee', 'Seo Yi-sook', 'Seo Hye-rin', 'Sean Dulake']",백정의 아들인 주인공이 한국 최초의 근대식 병원인 제중원에서 양의를 배우며 성공해가는 스토리를 그린 드라마다. 드라마 '하얀거탑'의 극본을 맡아 유명한 이기원이 작가로 참여했다.,https://images.justwatch.com/poster/139165990/s276/jejungweon.webp,['Hong Chang-wook']
궁쇄심옥,宫,2011,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}",,"['56%', '6.3']","['드라마', '로맨스']",45분,"['Yuan Shanshan', 'Lu Yi', 'Yunxiang Gao']",아버지와 조그만 골동품을 운영하는 여주인공이 우연한 사건으로 인해 시공을 초월하여 청나라 강희황제 시대로 가면서 벌어지는 일을 그린 드라마,https://images.justwatch.com/poster/139166668/s276/gungswaesimog.webp,['Wai Chu Lee']
대왕의 꿈,,2012,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['83%', '7.2']","['드라마', '역사']",51분,"['Choi Soo-jong', 'Chae Sang-woo', 'Kim Yu-seok', 'Noh Young-hak', 'Lee Young-ah', 'Park Joo-mi', 'Hong Eun-hee', 'Jung Dong-hwan', 'Jung Da-bin', 'Lee Jong-soo', 'Grina Park', 'Choi Il-hwa', 'Kim Ye-ryeong', 'Choi Cheol-ho', 'Lee Se-young', 'Lee Dae-ro', 'Hong Soo-a', 'Heo Jung-min', 'Kim Min-ki', 'Kim Hyun-soo', 'Park Joo-mi', 'Kang Ye-seo']",우리 역사상 최초로 난세를 평정하고 통일국가를 완수해 우리 민족문화의 최전성기를 이룬 태종무열왕과 김유신 등 영웅들의 일대기를 흥미와 재미로 재조명한 대하드라마.,https://images.justwatch.com/poster/194305881/s276/the-kings-dream.webp,
해운대 연인들,,2012,,"{'Naver Store': ['1개', 'HD']}",,"['69%', '5.8']","['드라마', '코미디', '로맨스']",1시간 4분,"['Kim Kang-woo', 'Cho Yeo-jeong', 'Nam Gyu-ri', 'Kang Min-kyung', 'Jung Suk-won', 'Kim Tae-hyun']",기억을 잃은채 낯선 부산에서 사랑하게 된 전직 조폭의 딸과 검사의 로맨틱 코미디 드라마다.,https://images.justwatch.com/poster/191901297/s276/season-2-2012.webp,"['Park Jin-seok ', ' Song Hyun-wook']"
